Year,Age,Sex,Households_1,Type of residence,Value
2015,,,,,58.3
2016,,,,,58.6
2017,,,,,47.3
2018,,,,,43.2
2019,,,,,41.3
2020,,,,,47.2
2021,,,,,39.1
2022,,,,,
2023,,,,,
2024,,,,,
2015,age_18_1,,,,66.6
2016,age_18_1,,,,65.5
2017,age_18_1,,,,56.7
2018,age_18_1,,,,51.1
2019,age_18_1,,,,47.8
2020,age_18_1,,,,53.0
2021,age_18_1,,,,43.5
2022,age_18_1,,,,
2023,age_18_1,,,,
2024,age_18_1,,,,
2015,18-34 years,,,,59.4
2016,18-34 years,,,,57.9
2017,18-34 years,,,,47.4
2018,18-34 years,,,,44.3
2019,18-34 years,,,,40.1
2020,18-34 years,,,,44.7
2021,18-34 years,,,,36.9
2022,18-34 years,,,,
2023,18-34 years,,,,
2024,18-34 years,,,,
2015,35-59 years,,,,53.9
2016,35-59 years,,,,55.2
2017,35-59 years,,,,42.0
2018,35-59 years,,,,38.1
2019,35-59 years,,,,36.6
2020,35-59 years,,,,43.8
2021,35-59 years,,,,35.1
2022,35-59 years,,,,
2023,35-59 years,,,,
2024,35-59 years,,,,
2015,60 years and older,,,,57.0
2016,60 years and older,,,,58.9
2017,60 years and older,,,,47.6
2018,60 years and older,,,,43.5
2019,60 years and older,,,,44.4
2020,60 years and older,,,,50.6
2021,60 years and older,,,,44.1
2022,60 years and older,,,,
2023,60 years and older,,,,
2024,60 years and older,,,,
2015,,females_1,,,58.6
2016,,females_1,,,58.6
2017,,females_1,,,47.3
2018,,females_1,,,43.9
2019,,females_1,,,41.0
2020,,females_1,,,48.0
2021,,females_1,,,40.4
2022,,females_1,,,
2023,,females_1,,,
2024,,females_1,,,
2015,,males_1,,,58.0
2016,,males_1,,,58.5
2017,,males_1,,,47.3
2018,,males_1,,,42.4
2019,,males_1,,,41.5
2020,,males_1,,,46.2
2021,,males_1,,,37.6
2022,,males_1,,,
2023,,males_1,,,
2024,,males_1,,,
2015,,,hh_ch_1,,66.5
2016,,,hh_ch_1,,65.2
2017,,,hh_ch_1,,55.1
2018,,,hh_ch_1,,49.9
2019,,,hh_ch_1,,47.3
2020,,,hh_ch_1,,53.6
2021,,,hh_ch_1,,43.2
2022,,,hh_ch_1,,
2023,,,hh_ch_1,,
2024,,,hh_ch_1,,
2015,,,hh_ch_01,,48.8
2016,,,hh_ch_01,,50.9
2017,,,hh_ch_01,,38.1
2018,,,hh_ch_01,,35.4
2019,,,hh_ch_01,,34.3
2020,,,hh_ch_01,,39.7
2021,,,hh_ch_01,,34.4
2022,,,hh_ch_01,,
2023,,,hh_ch_01,,
2024,,,hh_ch_01,,
2015,,,,urban,55.6
2016,,,,urban,55.8
2017,,,,urban,43.6
2018,,,,urban,38.7
2019,,,,urban,36.8
2020,,,,urban,43.0
2021,,,,urban,34.1
2022,,,,urban,
2023,,,,urban,
2024,,,,urban,
2015,,,,rural,63.6
2016,,,,rural,64.0
2017,,,,rural,54.4
2018,,,,rural,52.0
2019,,,,rural,50.1
2020,,,,rural,55.5
2021,,,,rural,49.0
2022,,,,rural,
2023,,,,rural,
2024,,,,rural,
